date,phase
12/25/2013,4
1/1/2014,1
1/7/2014,2
1/16/2014,3
1/24/2014,4
1/30/2014,1
2/6/2014,2
2/14/2014,3
2/22/2014,4
3/1/2014,1
3/8/2014,2
3/16/2014,3
3/23/2014,4
3/30/2014,1
4/7/2014,2
4/15/2014,3
4/22/2014,4
4/29/2014,1
5/7/2014,2
5/14/2014,3
5/21/2014,4
5/28/2014,1
6/5/2014,2
6/13/2014,3
6/19/2014,4
6/27/2014,1
7/5/2014,2
7/12/2014,3
7/18/2014,4
7/26/2014,1
8/3/2014,2
8/10/2014,3
8/17/2014,4
8/25/2014,1
9/2/2014,2
9/8/2014,3
9/15/2014,4
9/24/2014,1
10/1/2014,2
10/8/2014,3
10/15/2014,4
10/23/2014,1
10/30/2014,2
11/6/2014,3
11/14/2014,4
11/22/2014,1
11/29/2014,2
12/6/2014,3
12/14/2014,4
12/21/2014,1
12/28/2014,2
1/5/2015,3
1/13/2015,4
1/20/2015,1
1/27/2015,2
2/3/2015,3
2/11/2015,4
2/18/2015,1
2/25/2015,2
3/5/2015,3
