date,temp,precip
12/25/2013,-9.7,1.6
12/26/2013,-10.2,4
12/27/2013,-6,2.2
12/28/2013,-6.5,0
12/29/2013,-4.7,6.4
12/30/2013,-7,14
12/31/2013,-16.3,0
1/1/2014,-17.6,0
1/2/2014,-22.1,0
1/3/2014,-16,5.2
1/4/2014,-15.3,
1/5/2014,-5.2,0
1/6/2014,-1.5,2.2
1/7/2014,-2.9,1.2
1/8/2014,-11.9,0
1/9/2014,-12.1,0
1/10/2014,-10.1,0
1/11/2014,1.5,9.2
1/12/2014,5,1.4
1/13/2014,-0.4,0
1/14/2014,4.4,8.8
1/15/2014,4.5,8.2
1/16/2014,1.1,14.8
1/17/2014,1.3,0
1/18/2014,,
1/19/2014,-1.8,2.4
1/20/2014,-4.7,2
1/21/2014,-13.1,0
1/22/2014,-10.6,20
1/23/2014,-12.9,0.6
1/24/2014,-18.7,0
1/25/2014,-8,1
1/26/2014,-5.4,4
1/27/2014,-5.1,2.8
1/28/2014,-8.9,0
1/29/2014,-11.3,3.4
1/30/2014,-11.1,0
1/31/2014,-3.9,0.2
2/1/2014,-4.7,0
2/2/2014,-0.6,10.2
2/3/2014,-8.7,0
2/4/2014,-10.5,0
2/5/2014,-9.2,7.8
2/6/2014,-14.3,0.4
2/7/2014,-10.4,0
2/8/2014,-9.7,0
2/9/2014,-16,0
2/10/2014,-12.8,0.6
2/11/2014,-14.2,0
2/12/2014,-15.2,0
2/13/2014,-8.3,6.6
2/14/2014,2,19
2/15/2014,-5.1,3.8
2/16/2014,-6,13.4
2/17/2014,-9.1,1.2
2/18/2014,-9.2,0
2/19/2014,-2.8,19.6
2/20/2014,-1.1,17.2
2/21/2014,-3.4,4.2
2/22/2014,2.8,7.6
2/23/2014,1,0
2/24/2014,-2.6,0.2
2/25/2014,-10.8,0
2/26/2014,-12.9,0
2/27/2014,-11.6,0
2/28/2014,-10,0
3/1/2014,-10.4,0.6
3/2/2014,-9.9,2
3/3/2014,-15,0
3/4/2014,-15.9,0
3/5/2014,-17.8,0
3/6/2014,-13.9,0
3/7/2014,-6.8,0
3/8/2014,-1.7,0
3/9/2014,-10,0
3/10/2014,-9,0
3/11/2014,-5.6,1.6
3/12/2014,-0.4,17.4
3/13/2014,-5.8,19.2
3/14/2014,-10.1,0.2
3/15/2014,-1.3,8.6
3/16/2014,-4.6,0.4
3/17/2014,-11.2,0
3/18/2014,-9.5,0
3/19/2014,-6,0
3/20/2014,-0.6,3.2
3/21/2014,1.8,0
3/22/2014,-0.3,3.8
3/23/2014,-4.8,0.4
3/24/2014,-11.6,0
3/25/2014,-8.3,0
3/26/2014,-6.7,40.4
3/27/2014,-3.9,3.6
3/28/2014,-1.2,7
3/29/2014,0.6,1
3/30/2014,-0.8,33.9
3/31/2014,-1.1,22.2
4/1/2014,-3,21.2
4/2/2014,-1.5,0
4/3/2014,-0.8,1.4
4/4/2014,-0.9,0.6
4/5/2014,0.1,13
4/6/2014,1.8,0
4/7/2014,4,0
4/8/2014,4.2,26
4/9/2014,3,0
4/10/2014,0.6,0
4/11/2014,6.9,0
4/12/2014,5,0.2
4/13/2014,0.9,4.6
4/14/2014,6.4,18.1
4/15/2014,14,0
4/16/2014,4.5,15
4/17/2014,-1.5,0
4/18/2014,0.6,0
4/19/2014,3,0
4/20/2014,2.9,0
4/21/2014,5.7,0
4/22/2014,7.1,0.4
4/23/2014,8.5,0
4/24/2014,2.4,29.2
4/25/2014,0.2,1.4
4/26/2014,2.8,0
4/27/2014,2.1,1.8
4/28/2014,2.6,1.8
4/29/2014,1.7,0
4/30/2014,3.3,0
5/1/2014,4.4,18
5/2/2014,7,4.8
5/3/2014,9.1,0
5/4/2014,7.5,16.8
5/5/2014,2.5,12.2
5/6/2014,1.7,0
5/7/2014,3.8,0
5/8/2014,6,0
5/9/2014,6.8,0
5/10/2014,9.4,8.2
5/11/2014,7.3,1
5/12/2014,3.2,0.6
5/13/2014,4.7,0
5/14/2014,8.5,0
5/15/2014,14.2,0
5/16/2014,17,0
5/17/2014,16,0
5/18/2014,14,0
5/19/2014,11.1,2.2
5/20/2014,10.6,0.8
5/21/2014,12.2,0
5/22/2014,7.5,2.6
5/23/2014,5.6,1.4
5/24/2014,5.1,1.4
5/25/2014,4.5,0.6
5/26/2014,4.9,9.6
5/27/2014,6.4,0.4
5/28/2014,4.5,0
5/29/2014,9.4,0
5/30/2014,15.3,0
5/31/2014,10,0
6/1/2014,11.3,0
6/2/2014,15.7,0
6/3/2014,17.3,0
6/4/2014,17.7,0
6/5/2014,18.6,0.6
6/6/2014,13.2,14.6
6/7/2014,9.1,1.8
6/8/2014,9.6,0
6/9/2014,13.2,0
6/10/2014,12,0
6/11/2014,12.2,0
6/12/2014,11.2,0
6/13/2014,15.7,0.8
6/14/2014,14.3,3
6/15/2014,12.7,16.2
6/16/2014,11.8,1.4
6/17/2014,16.7,0
6/18/2014,13.4,22
6/19/2014,13.1,1.2
6/20/2014,11.2,11.2
6/21/2014,10.7,0.8
6/22/2014,13,0
6/23/2014,15.9,0
6/24/2014,19.1,0
6/25/2014,13.9,2.8
6/26/2014,12.4,11.6
6/27/2014,13.5,0
6/28/2014,17.5,0
6/29/2014,20.2,0
6/30/2014,22.4,0
7/1/2014,22.7,0
7/2/2014,23.7,0
7/3/2014,24.5,0
7/4/2014,24.4,1
7/5/2014,17.4,9.8
7/6/2014,19,3
7/7/2014,20.8,0
7/8/2014,22.1,2.8
7/9/2014,23,0
7/10/2014,22.5,0
7/11/2014,19.3,0
7/12/2014,20.6,0
7/13/2014,21.8,0
7/14/2014,20,3.2
7/15/2014,21.4,
7/16/2014,24.9,6
7/17/2014,20.5,6.6
7/18/2014,20.5,0
7/19/2014,19.2,
7/20/2014,18.7,0
7/21/2014,21.5,0.2
7/22/2014,22.1,0
7/23/2014,23.7,0
7/24/2014,17.9,3.4
7/25/2014,19,0
7/26/2014,21.1,0
7/27/2014,21.9,0
7/28/2014,23.4,2.8
7/29/2014,22.4,0
7/30/2014,20.8,4.4
7/31/2014,19.3,0.8
